lesson,title,primary_series,secondary_formats,asset_target
1,Helicopter Fundamentals,60-Second Helicopter School,systems|quiz|oral|carousel|Gauntlet,20
2,Flight Controls,Aircraft Systems Explained,shorts|quiz|oral|carousel,20
3,Rotor Systems,Aircraft Systems Explained,shorts|myths|quiz|Gauntlet,20
4,Engines & Powerplants,Aircraft Systems Explained,shorts|systems|quiz|oral,20
5,Aerodynamics I,Helicopter Myths,shorts|explainer|quiz|Gauntlet,20
6,Translational Lift,Can You Save the Helicopter?,shorts|Gauntlet|quiz|oral,20
7,Retreating Blade Stall,The Gauntlet,shorts|scenario|quiz|myths,20
8,LTE Awareness,Would You Take This Flight?,shorts|scenario|Gauntlet|quiz,20
9,Autorotation,Can You Save the Helicopter?,shorts|scenario|oral|quiz,20
10,Weight & Balance,Pilot or Passenger?,shorts|scenario|quiz|carousel,20
11,Performance,The Gauntlet,shorts|scenario|quiz|calculator-concept,20
12,Ground Procedures,Pilot or Passenger?,shorts|checklist-thinking|quiz|oral,20
13,Flight Planning,Would You Take This Flight?,shorts|scenario|quiz|carousel,20
14,Weather Fundamentals,Would You Take This Flight?,shorts|scenario|myths|quiz,20
15,Density Altitude,The Gauntlet,shorts|scenario|quiz|systems,20
16,Airspace,60-Second Helicopter School,shorts|quiz|map-concept|scenario,20
17,Charts & Navigation,What Would You Do?,shorts|quiz|scenario|oral,20
18,Radio Communications,CFI Roasts Bad Pilot Decisions,shorts|roleplay|quiz|oral,20
19,Human Factors,Pilot or Passenger?,shorts|scenario|quiz|community,20
20,ADM & Risk Management,The Gauntlet,shorts|scenario|quiz|debate,20
21,Emergency Priorities,Can You Save the Helicopter?,shorts|scenario|quiz|oral,20
22,Night Operations,Would You Take This Flight?,shorts|scenario|quiz|myths,20
23,Mountain Flying,The Gauntlet,shorts|scenario|quiz|risk,20
24,Confined Area Operations,The Gauntlet,shorts|scenario|quiz|oral,20
25,Slope Operations,Can You Save the Helicopter?,shorts|scenario|quiz|systems,20
26,Instrument Fundamentals,Aircraft Systems Explained,shorts|quiz|oral|myths,20
27,Professional Pilot Mindset,CFI Roasts Bad Pilot Decisions,shorts|scenario|community|career,20
28,Commercial Pilot Path,From Zero to Helicopter Pilot,shorts|career|quiz|story,20
29,CFI Foundations,From Zero to Helicopter Pilot,shorts|career|oral|instructor,20
30,Career Launch,From Zero to Helicopter Pilot,shorts|career|interview|community,20
